param n:=60;
param m := 5;
param c : 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60
:=
       1  17 40 35 24 50 15 31 38 48 18 16 44 41 10 26 50 48 20 24 12 48 24 34 39 14 32 47 10 45 15 22 20 44 41 49 10 30 46 20 37 19 12 14 31 28 22 38 47 12 29 31 30 30 29 50 39 44 23 37 48
       2  40 34 20 13 14 49 13 42 49 43 12 12 21 31 44 18 36 44 20 22 16 50 18 50 20 13 34 29 36 50 38 24 46 19 49 41 39 33 13 38 41 23 49 30 37 20 14 31 21 30 48 36 45 36 42 25 22 45 16 15
       3  32 13 20 33 26 46 48 38 12 49 13 47 17 13 45 35 47 13 26 42 29 29 16 24 37 33 35 22 36 24 35 13 23 43 29 37 41 32 47 31 48 15 49 44 11 39 48 43 47 49 21 48 39 35 45 28 28 11 33 29
       4  26 31 39 17 27 25 22 32 50 43 12 49 40 44 38 30 23 42 46 26 42 45 22 42 19 40 34 39 38 39 26 30 42 39 31 46 30 49 11 50 20 22 49 19 43 19 15 43 25 27 32 33 45 49 18 33 20 49 44 38
       5  13 28 50 48 37 12 24 32 35 49 37 32 41 41 30 17 28 49 36 18 19 13 10 41 11 49 25 41 24 40 36 30 35 18 32 48 32 37 41 40 15 11 40 36 23 26 17 40 10 48 23 31 30 12 19 29 47 41 47 43
;
param a : 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60
:=
       1  18 12 12 13 19 13 13 9 15 6 20 23 7 24 19 15 25 13 8 19 13 12 25 7 11 18 7 24 16 19 10 16 14 11 23 21 13 5 12 10 5 20 5 14 21 25 18 22 18 9 12 6 9 23 6 11 15 7 24 12
       2  7 10 8 13 13 22 15 6 10 5 12 8 7 16 14 22 6 19 17 23 7 23 18 22 12 7 6 5 7 21 21 18 14 22 9 15 11 18 15 21 9 21 24 15 15 5 16 24 16 7 5 11 6 9 20 7 11 16 6 24
       3  16 20 24 25 13 21 24 22 6 17 12 21 22 14 5 16 25 16 8 10 20 14 16 19 21 10 5 14 11 6 10 16 15 19 9 25 11 7 8 24 12 25 12 5 17 22 17 9 5 24 19 7 24 9 19 18 13 20 17 14
       4  11 18 7 5 9 18 9 17 25 17 12 15 22 18 13 22 23 9 12 6 11 25 25 15 6 7 23 14 17 15 17 13 17 11 20 22 15 16 14 8 9 20 17 20 11 19 22 16 25 5 19 13 23 8 13 12 7 20 5 19
       5  5 23 11 11 17 17 25 18 21 12 5 7 15 15 14 10 17 12 5 10 15 24 23 18 19 5 5 16 25 15 17 11 15 11 11 5 24 11 9 21 6 6 6 18 21 5 21 14 16 5 25 23 5 20 16 20 10 18 25 6
;
param b:=1 221,2 224,3 254,4 235,5 232;
